"model","index_px","index_py","index_pz","index_sx","index_sy","index_sz","bounds_px","bounds_py","bounds_pz","bounds_sx","bounds_sy","bounds_sz","actual_dipole_moment","actual_dipole_position","actual_dipole_freq","success","found_dipole_moment","found_dipole_position","found_dipole_frequency"
"low","5","5","2","3","3","1","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(2.0, 6.0)","(2.7, 2.9)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","3","2","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(2.0, 6.0)","(2.9, 3.1)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","3","3","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(2.0, 6.0)","(3.1, 3.3)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","3","4","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(2.0, 6.0)","(3.3, 3.5)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","4","0","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(6.0, 10.0)","(2.5, 2.7)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","4","1","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(6.0, 10.0)","(2.7, 2.9)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","4","2","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(6.0, 10.0)","(2.9, 3.1)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","4","3","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(6.0, 10.0)","(3.1, 3.3)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","3","4","4","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(2.0, 6.0)","(6.0, 10.0)","(3.3, 3.5)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","0","0","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-10.0, -6.0)","(2.5, 2.7)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","0","1","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-10.0, -6.0)","(2.7, 2.9)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","0","2","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-10.0, -6.0)","(2.9, 3.1)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","0","3","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-10.0, -6.0)","(3.1, 3.3)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","0","4","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-10.0, -6.0)","(3.3, 3.5)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","1","0","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-6.0, -2.0)","(2.5, 2.7)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","1","1","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-6.0, -2.0)","(2.7, 2.9)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","1","2","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-6.0, -2.0)","(2.9, 3.1)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","1","3","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-6.0, -2.0)","(3.1, 3.3)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","1","4","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-6.0, -2.0)","(3.3, 3.5)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","2","0","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-2.0, 2.0)","(2.5, 2.7)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","2","1","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-2.0, 2.0)","(2.7, 2.9)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","2","2","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-2.0, 2.0)","(2.9, 3.1)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","2","3","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-2.0, 2.0)","(3.1, 3.3)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","2","4","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(-2.0, 2.0)","(3.3, 3.5)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","3","0","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(2.0, 6.0)","(2.5, 2.7)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","3","1","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(2.0, 6.0)","(2.7, 2.9)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","3","2","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(2.0, 6.0)","(2.9, 3.1)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","3","3","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(2.0, 6.0)","(3.1, 3.3)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","3","4","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(2.0, 6.0)","(3.3, 3.5)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","4","0","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(6.0, 10.0)","(2.5, 2.7)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
"low","5","5","2","4","4","1","(6.666666666666668, 10.0)","(6.666666666666668, 10.0)","(3.333333333333334, 10.0)","(6.0, 10.0)","(6.0, 10.0)","(2.7, 2.9)","(1.4907798255452713, -0.11155216212225307, 8.598957203397196)","(-1.8204699606457453, 0.46178206204345074, 3.8691572159777703)","31","False","","",""
